Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
S4,Chrome 99.0.4844.82,,,2022-03-28 12:06:05,2022-03-28 12:16:49,10m - 43.880s,PASSED
,,,,,,,
Test Cases/Sprint 4/Skenario 4/04-01-Transaction-AppBaru-InisiasiKonsumenBaru,Chrome 99.0.4844.82,Pengajuan 4 ( NPWP Cancel / reject ),,2022-03-28 12:06:05,2022-03-28 12:07:20,1m - 14.092s,PASSED
robot = new java.awt.Robot(),Chrome 99.0.4844.82,,,2022-03-28 12:06:06,2022-03-28 12:06:06,0.139s,PASSED
userDir = getProjectDir(),Chrome 99.0.4844.82,,,2022-03-28 12:06:06,2022-03-28 12:06:06,0.002s,PASSED
"openBrowser("""")",Chrome 99.0.4844.82,Membuka browser chrome,,2022-03-28 12:06:06,2022-03-28 12:06:08,2.207s,PASSED
driver = getWebDriver(),Chrome 99.0.4844.82,,,2022-03-28 12:06:08,2022-03-28 12:06:08,0.008s,PASSED
navigateToUrl(ME_url),Chrome 99.0.4844.82,Melakukan navigasi ke alamat url / akses web aplikasi ME,,2022-03-28 12:06:08,2022-03-28 12:06:10,1.820s,PASSED
maximizeWindow(),Chrome 99.0.4844.82,Memaksimalkan aplikasi ME ke ukuran full desktop,,2022-03-28 12:06:10,2022-03-28 12:06:10,0.159s,PASSED
delay(5),Chrome 99.0.4844.82,Melakukan delay 5 detik,,2022-03-28 12:06:10,2022-03-28 12:06:15,5.027s,PASSED
"setText(findTestObject(""MEApp_AppBaru_InisiasiKonsumen/input_User ID_login""), CMO)",Chrome 99.0.4844.82,Melakukan input user login,,2022-03-28 12:06:15,2022-03-28 12:06:16,0.678s,PASSED
"setText(findTestObject(""MEApp_AppBaru_InisiasiKonsumen/input_User Password_login""), password)",Chrome 99.0.4844.82,Melakukan input password,,2022-03-28 12:06:16,2022-03-28 12:06:17,0.747s,PASSED
"takeFullPageScreenshotAsCheckpoint(userDir + sprint4WebScreenshootPath + ""scenario-1-aplikasi-baru-login.png"")",Chrome 99.0.4844.82,Melakukan screenshoot full page,,2022-03-28 12:06:17,2022-03-28 12:06:18,0.851s,PASSED
"markPassed(""Scenario 1 - Memastikan login berhasil"")",Chrome 99.0.4844.82,,,2022-03-28 12:06:18,2022-03-28 12:06:18,0.010s,PASSED
"click(findTestObject(""MEApp_AppBaru_InisiasiKonsumen/button_Login""))",Chrome 99.0.4844.82,Menekan tombol login,,2022-03-28 12:06:18,2022-03-28 12:06:18,0.344s,PASSED
delay(2),Chrome 99.0.4844.82,Melakukan delay 2 detik,,2022-03-28 12:06:18,2022-03-28 12:06:20,2.015s,PASSED
"verifyElementPresent(findTestObject(""MEApp_AppBaru_InisiasiKonsumen/span_Transaksi""), 0)",Chrome 99.0.4844.82,Melakukan verifikasi objek tombol menu transaksi muncul,,2022-03-28 12:06:20,2022-03-28 12:06:20,0.298s,PASSED
"click(findTestObject(""MEApp_AppBaru_InisiasiKonsumen/span_Transaksi""))",Chrome 99.0.4844.82,Memilih menu transaksi,,2022-03-28 12:06:20,2022-03-28 12:06:21,0.332s,PASSED
delay(1),Chrome 99.0.4844.82,Melakukan delay 1 detik,,2022-03-28 12:06:21,2022-03-28 12:06:22,1.013s,PASSED
"click(findTestObject(""MEApp_AppBaru_InisiasiKonsumen/span_Aplikasi Baru""))",Chrome 99.0.4844.82,Memilih menu aplikasi baru,,2022-03-28 12:06:22,2022-03-28 12:06:22,0.360s,PASSED
delay(1),Chrome 99.0.4844.82,Melakukan delay 1 detik,,2022-03-28 12:06:22,2022-03-28 12:06:23,1.008s,PASSED
"takeFullPageScreenshotAsCheckpoint(userDir + sprint4WebScreenshootPath + ""scenario-1-memilih-button-transaksi-dan-aplikasi-baru.png"")",Chrome 99.0.4844.82,Melakukan screenshoot full page,,2022-03-28 12:06:23,2022-03-28 12:06:24,0.611s,PASSED
"markPassed(""Scenario 1 - Memilih button transaksi dan aplikasi baru"")",Chrome 99.0.4844.82,,,2022-03-28 12:06:24,2022-03-28 12:06:24,0.001s,PASSED
"click(findTestObject(""MEApp_AppBaru_InisiasiKonsumen/input_perorangan_radios-apptype""))",Chrome 99.0.4844.82,Memilih radio type perorangan,,2022-03-28 12:06:24,2022-03-28 12:06:24,0.341s,PASSED
delay(1),Chrome 99.0.4844.82,Melakukan delay 1 detik,,2022-03-28 12:06:24,2022-03-28 12:06:25,1.019s,PASSED
"click(findTestObject(""MEApp_AppBaru_InisiasiKonsumen/input_korporasi_radios-apptype""))",Chrome 99.0.4844.82,Memilih radio type korporasi,,2022-03-28 12:06:25,2022-03-28 12:06:25,0.333s,PASSED
delay(1),Chrome 99.0.4844.82,Melakukan delay 1 detik,,2022-03-28 12:06:25,2022-03-28 12:06:26,1.004s,PASSED
"click(findTestObject(""MEApp_AppBaru_InisiasiKonsumen/input-badanusaha""))",Chrome 99.0.4844.82,Click input badan usaha,,2022-03-28 12:06:26,2022-03-28 12:06:27,0.348s,PASSED
delay(1),Chrome 99.0.4844.82,Melakukan delay 1 detik,,2022-03-28 12:06:27,2022-03-28 12:06:28,1.009s,PASSED
"setText(findTestObject(""MEApp_AppBaru_InisiasiKonsumen/input-badanusaha""), ""Perseroan Terbatas ( PT. , NV. , LTD. )"")",Chrome 99.0.4844.82,Input search Badan Usaha,,2022-03-28 12:06:28,2022-03-28 12:06:28,0.666s,PASSED
delay(1),Chrome 99.0.4844.82,Melakukan delay 1 detik,,2022-03-28 12:06:28,2022-03-28 12:06:29,1.003s,PASSED
"takeFullPageScreenshotAsCheckpoint(userDir + sprint4WebScreenshootPath + ""scenario-1-input-badan-usaha.png"")",Chrome 99.0.4844.82,Melakukan screenshoot full page,,2022-03-28 12:06:29,2022-03-28 12:06:30,0.618s,PASSED
"markPassed(""Scenario 1 - Input badan usaha"")",Chrome 99.0.4844.82,,,2022-03-28 12:06:30,2022-03-28 12:06:30,0.001s,PASSED
delay(2),Chrome 99.0.4844.82,Melakukan delay 2 detik,,2022-03-28 12:06:30,2022-03-28 12:06:32,2.011s,PASSED
"click(findTestObject(""MEApp_AppBaru_InisiasiKonsumen/span_Perseroan Terbatas ( PT. , NV. , LTD. )""))",Chrome 99.0.4844.82,Memilih badan usaha,,2022-03-28 12:06:32,2022-03-28 12:06:32,0.357s,PASSED
delay(2),Chrome 99.0.4844.82,Melakukan delay 2 detik,,2022-03-28 12:06:32,2022-03-28 12:06:34,2.014s,PASSED
"takeFullPageScreenshotAsCheckpoint(userDir + sprint4WebScreenshootPath + ""scenario-1-page-sebelum-input-capture.png"")",Chrome 99.0.4844.82,Melakukan screenshoot full page,,2022-03-28 12:06:34,2022-03-28 12:06:35,0.628s,PASSED
