Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
S1-S4,Chrome 99.0.4844.82,,,2022-03-28 12:21:22,2022-03-28 13:08:22,46m - 59.349s,PASSED
,,,,,,,
Test Cases/Sprint 4/Skenario 1/01-01-Transaction-AppBaru-InisiasiKonsumenBaru,Chrome 99.0.4844.82,Pengajuan 1 ( NPWP Tidak berlaku ),,2022-03-28 12:21:23,2022-03-28 12:22:50,1m - 27.815s,PASSED
robot = new java.awt.Robot(),Chrome 99.0.4844.82,,,2022-03-28 12:21:23,2022-03-28 12:21:23,0.156s,PASSED
userDir = getProjectDir(),Chrome 99.0.4844.82,,,2022-03-28 12:21:23,2022-03-28 12:21:23,0.001s,PASSED
"openBrowser("""")",Chrome 99.0.4844.82,Membuka browser chrome,,2022-03-28 12:21:23,2022-03-28 12:21:26,2.311s,PASSED
driver = getWebDriver(),Chrome 99.0.4844.82,,,2022-03-28 12:21:26,2022-03-28 12:21:26,0.006s,PASSED
navigateToUrl(ME_url),Chrome 99.0.4844.82,Melakukan navigasi ke alamat url / akses web aplikasi ME,,2022-03-28 12:21:26,2022-03-28 12:21:27,1.623s,PASSED
maximizeWindow(),Chrome 99.0.4844.82,Memaksimalkan aplikasi ME ke ukuran full desktop,,2022-03-28 12:21:27,2022-03-28 12:21:27,0.147s,PASSED
delay(5),Chrome 99.0.4844.82,Melakukan delay 5 detik,,2022-03-28 12:21:27,2022-03-28 12:21:32,5.047s,PASSED
"setText(findTestObject(""MEApp_AppBaru_InisiasiKonsumen/input_User ID_login""), CMO)",Chrome 99.0.4844.82,Melakukan input user login,,2022-03-28 12:21:32,2022-03-28 12:21:33,0.671s,PASSED
"setText(findTestObject(""MEApp_AppBaru_InisiasiKonsumen/input_User Password_login""), password)",Chrome 99.0.4844.82,Melakukan input password,,2022-03-28 12:21:33,2022-03-28 12:21:34,0.745s,PASSED
"takeFullPageScreenshotAsCheckpoint(userDir + sprint4WebScreenshootPath + ""scenario-1-aplikasi-baru-login.png"")",Chrome 99.0.4844.82,Melakukan screenshoot full page,,2022-03-28 12:21:34,2022-03-28 12:21:35,0.831s,PASSED
"markPassed(""Scenario 1 - Memastikan login berhasil"")",Chrome 99.0.4844.82,,,2022-03-28 12:21:35,2022-03-28 12:21:35,0.010s,PASSED
"click(findTestObject(""MEApp_AppBaru_InisiasiKonsumen/button_Login""))",Chrome 99.0.4844.82,Menekan tombol login,,2022-03-28 12:21:35,2022-03-28 12:21:35,0.352s,PASSED
delay(2),Chrome 99.0.4844.82,Melakukan delay 2 detik,,2022-03-28 12:21:35,2022-03-28 12:21:37,2.017s,PASSED
"verifyElementPresent(findTestObject(""MEApp_AppBaru_InisiasiKonsumen/span_Transaksi""), 0)",Chrome 99.0.4844.82,Melakukan verifikasi objek tombol menu transaksi muncul,,2022-03-28 12:21:37,2022-03-28 12:21:37,0.315s,PASSED
"click(findTestObject(""MEApp_AppBaru_InisiasiKonsumen/span_Transaksi""))",Chrome 99.0.4844.82,Memilih menu transaksi,,2022-03-28 12:21:37,2022-03-28 12:21:38,0.349s,PASSED
delay(1),Chrome 99.0.4844.82,Melakukan delay 1 detik,,2022-03-28 12:21:38,2022-03-28 12:21:39,1.019s,PASSED
"click(findTestObject(""MEApp_AppBaru_InisiasiKonsumen/span_Aplikasi Baru""))",Chrome 99.0.4844.82,Memilih menu aplikasi baru,,2022-03-28 12:21:39,2022-03-28 12:21:39,0.359s,PASSED
delay(1),Chrome 99.0.4844.82,Melakukan delay 1 detik,,2022-03-28 12:21:39,2022-03-28 12:21:40,1.015s,PASSED
"takeFullPageScreenshotAsCheckpoint(userDir + sprint4WebScreenshootPath + ""scenario-1-memilih-button-transaksi-dan-aplikasi-baru.png"")",Chrome 99.0.4844.82,Melakukan screenshoot full page,,2022-03-28 12:21:40,2022-03-28 12:21:41,0.631s,PASSED
"markPassed(""Scenario 1 - Memilih button transaksi dan aplikasi baru"")",Chrome 99.0.4844.82,,,2022-03-28 12:21:41,2022-03-28 12:21:41,0.001s,PASSED
"click(findTestObject(""MEApp_AppBaru_InisiasiKonsumen/input_perorangan_radios-apptype""))",Chrome 99.0.4844.82,Memilih radio type perorangan,,2022-03-28 12:21:41,2022-03-28 12:21:41,0.346s,PASSED
delay(1),Chrome 99.0.4844.82,Melakukan delay 1 detik,,2022-03-28 12:21:41,2022-03-28 12:21:42,1.008s,PASSED
"click(findTestObject(""MEApp_AppBaru_InisiasiKonsumen/input_korporasi_radios-apptype""))",Chrome 99.0.4844.82,Memilih radio type korporasi,,2022-03-28 12:21:42,2022-03-28 12:21:42,0.336s,PASSED
delay(1),Chrome 99.0.4844.82,Melakukan delay 1 detik,,2022-03-28 12:21:42,2022-03-28 12:21:43,1.010s,PASSED
"click(findTestObject(""MEApp_AppBaru_InisiasiKonsumen/input-badanusaha""))",Chrome 99.0.4844.82,Click input badan usaha,,2022-03-28 12:21:43,2022-03-28 12:21:44,0.350s,PASSED
delay(1),Chrome 99.0.4844.82,Melakukan delay 1 detik,,2022-03-28 12:21:44,2022-03-28 12:21:45,1.010s,PASSED
"setText(findTestObject(""MEApp_AppBaru_InisiasiKonsumen/input-badanusaha""), ""Perseroan Terbatas ( PT. , NV. , LTD. )"")",Chrome 99.0.4844.82,Input search Badan Usaha,,2022-03-28 12:21:45,2022-03-28 12:21:46,0.672s,PASSED
delay(1),Chrome 99.0.4844.82,Melakukan delay 1 detik,,2022-03-28 12:21:46,2022-03-28 12:21:47,1.018s,PASSED
"takeFullPageScreenshotAsCheckpoint(userDir + sprint4WebScreenshootPath + ""scenario-1-input-badan-usaha.png"")",Chrome 99.0.4844.82,Melakukan screenshoot full page,,2022-03-28 12:21:47,2022-03-28 12:21:47,0.641s,PASSED
"markPassed(""Scenario 1 - Input badan usaha"")",Chrome 99.0.4844.82,,,2022-03-28 12:21:47,2022-03-28 12:21:47,0.000s,PASSED
delay(2),Chrome 99.0.4844.82,Melakukan delay 2 detik,,2022-03-28 12:21:47,2022-03-28 12:21:49,2.008s,PASSED
"click(findTestObject(""MEApp_AppBaru_InisiasiKonsumen/span_Perseroan Terbatas ( PT. , NV. , LTD. )""))",Chrome 99.0.4844.82,Memilih badan usaha,,2022-03-28 12:21:49,2022-03-28 12:21:50,0.356s,PASSED
delay(2),Chrome 99.0.4844.82,Melakukan delay 2 detik,,2022-03-28 12:21:50,2022-03-28 12:21:52,2.007s,PASSED
"takeFullPageScreenshotAsCheckpoint(userDir + sprint4WebScreenshootPath + ""scenario-1-page-sebelum-input-capture.png"")",Chrome 99.0.4844.82,Melakukan screenshoot full page,,2022-03-28 12:21:52,2022-03-28 12:21:52,0.658s,PASSED
"markPassed(""Scenario 1 - Sebelum input capture npwp + SIUP + TDP"")",Chrome 99.0.4844.82,,,2022-03-28 12:21:52,2022-03-28 12:21:52,0.001s,PASSED
delay(2),Chrome 99.0.4844.82,Melakukan delay 2 detik,,2022-03-28 12:21:52,2022-03-28 12:21:54,2.015s,PASSED
"click(findTestObject(""MEApp_AppBaru_InisiasiKonsumen/button_Capture_npwp""))",Chrome 99.0.4844.82,Menekan tombol capture NPWP,,2022-03-28 12:21:54,2022-03-28 12:21:55,0.359s,PASSED
delay(2),Chrome 99.0.4844.82,Melakukan delay 2 detik,,2022-03-28 12:21:55,2022-03-28 12:21:57,2.011s,PASSED
"uploadFile(findTestObject(""MEApp_AppBaru_InisiasiKonsumen/Capture_""), userDir + pathfinder_npwp)",Chrome 99.0.4844.82,Melakukan upload file NPWP,,2022-03-28 12:21:57,2022-03-28 12:21:57,0.332s,PASSED
"waitForElementPresent(findTestObject(""MEApp_AppBaru_InisiasiKonsumen/button_NPWP""), 0)",Chrome 99.0.4844.82,,,2022-03-28 12:21:57,2022-03-28 12:21:59,2.379s,PASSED
"setText(findTestObject(""MEApp_AppBaru_InisiasiKonsumen/input_NPWP No fix""), NPWP_tidakBerlaku)",Chrome 99.0.4844.82,Input data nomer NPWP tidak berlaku,,2022-03-28 12:21:59,2022-03-28 12:22:00,0.674s,PASSED
delay(1),Chrome 99.0.4844.82,Melakukan delay 1 detik,,2022-03-28 12:22:00,2022-03-28 12:22:01,1.005s,PASSED
"setText(findTestObject(""MEApp_AppBaru_InisiasiKonsumen/input_Name fix""), CN_tidakBerlaku)",Chrome 99.0.4844.82,Input data nama NPWP tidak berlaku,,2022-03-28 12:22:01,2022-03-28 12:22:02,0.658s,PASSED
"click(findTestObject(""MEApp_AppBaru_InisiasiKonsumen/button_Capture_siupfix""))",Chrome 99.0.4844.82,Menekan tombol capture SIUP,,2022-03-28 12:22:02,2022-03-28 12:22:02,0.346s,PASSED
delay(2),Chrome 99.0.4844.82,Melakukan delay 2 detik,,2022-03-28 12:22:02,2022-03-28 12:22:04,2.011s,PASSED
"uploadFile(findTestObject(""MEApp_AppBaru_InisiasiKonsumen/Capture_""), userDir + pathfinder_siup)",Chrome 99.0.4844.82,Melakukan upload file SIUP,,2022-03-28 12:22:04,2022-03-28 12:22:04,0.328s,PASSED
