Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
MECORP,Firefox 121.0,,,2024-01-15 13:54:01,2024-01-15 13:57:58,3m - 57.270s,ERROR
,,,,,,,
Test Cases/me corp/Login,Firefox 121.0,,,2024-01-15 13:54:01,2024-01-15 13:54:13,11.344s,PASSED
username = <not implemented yet for class: org.codehaus.groovy.ast.expr.EmptyExpression>,Firefox 121.0,,,2024-01-15 13:54:02,2024-01-15 13:54:02,0.002s,PASSED
"password = ""Mobile123+""",Firefox 121.0,,,2024-01-15 13:54:02,2024-01-15 13:54:02,0.001s,PASSED
switch (role),Firefox 121.0,,,2024-01-15 13:54:02,2024-01-15 13:54:03,1.243s,PASSED
"openBrowser("""")",Firefox 121.0,,,2024-01-15 13:54:03,2024-01-15 13:54:09,5.873s,PASSED
navigateToUrl(ME_url),Firefox 121.0,,,2024-01-15 13:54:09,2024-01-15 13:54:10,1.199s,PASSED
maximizeWindow(),Firefox 121.0,,,2024-01-15 13:54:10,2024-01-15 13:54:10,0.051s,PASSED
"setText(findTestObject(""MEApp_AppBaru_InisiasiKonsumen/input_User ID_login""), ""20111907"")",Firefox 121.0,,,2024-01-15 13:54:10,2024-01-15 13:54:11,0.824s,PASSED
"setText(findTestObject(""MEApp_AppBaru_InisiasiKonsumen/input_User Password_login""), password)",Firefox 121.0,,,2024-01-15 13:54:11,2024-01-15 13:54:12,0.773s,PASSED
"click(findTestObject(""MEApp_AppBaru_InisiasiKonsumen/button_Login""))",Firefox 121.0,,,2024-01-15 13:54:12,2024-01-15 13:54:13,0.711s,PASSED
,,,,,,,
Test Cases/me corp/inisiasi,Firefox 121.0,,,2024-01-15 13:54:13,2024-01-15 13:55:16,1m - 2.897s,PASSED
robot = new java.awt.Robot(),Firefox 121.0,,,2024-01-15 13:54:14,2024-01-15 13:54:14,0.064s,PASSED
driver = getWebDriver(),Firefox 121.0,,,2024-01-15 13:54:14,2024-01-15 13:54:14,0.015s,PASSED
userDir = getProjectDir(),Firefox 121.0,,,2024-01-15 13:54:14,2024-01-15 13:54:14,0.002s,PASSED
ssDir = userDir + sprint2WebScreenshotPath,Firefox 121.0,,,2024-01-15 13:54:14,2024-01-15 13:54:14,0.002s,PASSED
"click(findTestObject(""MEApp_AppBaru_InisiasiKonsumen/span_Transaksi""))",Firefox 121.0,,,2024-01-15 13:54:14,2024-01-15 13:54:15,0.589s,PASSED
"click(findTestObject(""MEApp_AppBaru_InisiasiKonsumen/span_Aplikasi Baru""))",Firefox 121.0,,,2024-01-15 13:54:15,2024-01-15 13:54:15,0.600s,PASSED
"takeFullPageScreenshotAsCheckpoint(ssDir + matrix + ""-memilih-button-transaksi-dan-aplikasi-baru.png"")",Firefox 121.0,,,2024-01-15 13:54:15,2024-01-15 13:54:16,0.758s,PASSED
"if (tipeKonsumen == ""Perorangan"")",Firefox 121.0,,,2024-01-15 13:54:16,2024-01-15 13:54:16,0.001s,PASSED
else,Firefox 121.0,,,2024-01-15 13:54:16,2024-01-15 13:54:17,0.576s,PASSED
"click(findTestObject(""MEApp_AppBaru_InisiasiKonsumen/input-badanusaha""))",Firefox 121.0,,,2024-01-15 13:54:17,2024-01-15 13:54:17,0.621s,PASSED
"setText(findTestObject(""MEApp_AppBaru_InisiasiKonsumen/input-badanusaha""), badanUsaha)",Firefox 121.0,,,2024-01-15 13:54:17,2024-01-15 13:54:18,0.725s,PASSED
