Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Aplikasi Baru,Chrome 121.0.0.0,,,20-02-2024 10:08:02,20-02-2024 10:14:04,6m - 2.484s,FAILED
,,,,,,,
Test Cases/me corp - aline/Login,Chrome 121.0.0.0,,,20-02-2024 10:08:02,20-02-2024 10:08:10,7.879s,PASSED
switch (role),Chrome 121.0.0.0,,,20-02-2024 10:08:02,20-02-2024 10:08:02,0.002s,PASSED
openBrowser(ME_url),Chrome 121.0.0.0,,,20-02-2024 10:08:02,20-02-2024 10:08:05,2.926s,PASSED
maximizeWindow(),Chrome 121.0.0.0,,,20-02-2024 10:08:05,20-02-2024 10:08:05,0.132s,PASSED
"setText(findTestObject(""Object Repository/xpath_dynamic"", [""xpath"":""//form//input[@formcontrolname='username']""]), AHUUsername)",Chrome 121.0.0.0,,,20-02-2024 10:08:05,20-02-2024 10:08:06,0.762s,PASSED
"setText(findTestObject(""Object Repository/xpath_dynamic"", [""xpath"":""//form//input[@formcontrolname='password']""]), password)",Chrome 121.0.0.0,,,20-02-2024 10:08:06,20-02-2024 10:08:07,0.758s,PASSED
"click(findTestObject(""Object Repository/xpath_dynamic"", [""xpath"":""//form//button[@type='submit']""]))",Chrome 121.0.0.0,,,20-02-2024 10:08:07,20-02-2024 10:08:07,0.552s,PASSED
"click(findTestObject(""Object Repository/xpath_dynamic"", [""xpath"":""//ul/li[@id='menu0']""]))",Chrome 121.0.0.0,,,20-02-2024 10:08:07,20-02-2024 10:08:09,2.111s,PASSED
"click(findTestObject(""Object Repository/xpath_dynamic"", [""xpath"":""//*[@id='sidebar']//a[@href='/aplikasi-baru']""]))",Chrome 121.0.0.0,,,20-02-2024 10:08:09,20-02-2024 10:08:10,0.349s,PASSED
,,,,,,,
Test Cases/me corp - aline/Transaction/AplikasiBaru,Chrome 121.0.0.0,,,20-02-2024 10:08:10,20-02-2024 10:08:38,28.658s,PASSED
robot = new java.awt.Robot(),Chrome 121.0.0.0,,,20-02-2024 10:08:10,20-02-2024 10:08:10,0.139s,PASSED
npwp = NPWPGenerator.generateIncrementingNPWP(),Chrome 121.0.0.0,,,20-02-2024 10:08:10,20-02-2024 10:08:10,0.038s,PASSED
driver = getWebDriver(),Chrome 121.0.0.0,,,20-02-2024 10:08:10,20-02-2024 10:08:10,0.009s,PASSED
userDir = getProjectDir(),Chrome 121.0.0.0,,,20-02-2024 10:08:10,20-02-2024 10:08:10,0.003s,PASSED
ssDir = userDir + sprint2WebScreenshotPath,Chrome 121.0.0.0,,,20-02-2024 10:08:10,20-02-2024 10:08:10,0.003s,PASSED
"if (tipeKonsumen == ""Perorangan"")",Chrome 121.0.0.0,,,20-02-2024 10:08:10,20-02-2024 10:08:10,0.329s,PASSED
"click(findTestObject(""Object Repository/xpath_dynamic"", [""xpath"":""//form//ng-select[@formcontrolname='businessType']""]))",Chrome 121.0.0.0,,,20-02-2024 10:08:10,20-02-2024 10:08:11,0.321s,PASSED
"click(findTestObject(""Object Repository/xpath_dynamic"", [""xpath""://form//*[text()='$badanUsaha']]))",Chrome 121.0.0.0,,,20-02-2024 10:08:11,20-02-2024 10:08:11,0.488s,PASSED
"npwpPath = pathfinder_npwp.replace(""/"", ""\"")",Chrome 121.0.0.0,,,20-02-2024 10:08:11,20-02-2024 10:08:11,0.005s,PASSED
"siupPath = pathfinder_siup.replace(""/"", ""\"")",Chrome 121.0.0.0,,,20-02-2024 10:08:11,20-02-2024 10:08:11,0.005s,PASSED
"tdpPath = pathfinder_tdp.replace(""/"", ""\"")",Chrome 121.0.0.0,,,20-02-2024 10:08:11,20-02-2024 10:08:11,0.001s,PASSED
"uploadFile = [[""path"":npwpPath], [""path"":siupPath], [""path"":tdpPath]]",Chrome 121.0.0.0,,,20-02-2024 10:08:11,20-02-2024 10:08:11,0.000s,PASSED
uploadFile.each({ java.lang.Object key -> ... }),Chrome 121.0.0.0,,,20-02-2024 10:08:11,20-02-2024 10:08:21,9.903s,PASSED
"waitForElementVisible(findTestObject(""Object Repository/xpath_dynamic"", [""xpath"":""//form//input[@formcontrolname='npwpNo']""]), 2)",Chrome 121.0.0.0,,,20-02-2024 10:08:21,20-02-2024 10:08:22,0.622s,PASSED
"setText(findTestObject(""Object Repository/xpath_dynamic"", [""xpath"":""//form//input[@formcontrolname='npwpNo']""]), npwp)",Chrome 121.0.0.0,,,20-02-2024 10:08:22,20-02-2024 10:08:23,0.751s,PASSED
"setText(findTestObject(""Object Repository/xpath_dynamic"", [""xpath"":""//form//input[@formcontrolname='name']""]), nama)",Chrome 121.0.0.0,,,20-02-2024 10:08:23,20-02-2024 10:08:23,0.632s,PASSED
"if (isPerubahanData == ""ya"")",Chrome 121.0.0.0,,,20-02-2024 10:08:23,20-02-2024 10:08:23,0.001s,PASSED
else,Chrome 121.0.0.0,,,20-02-2024 10:08:23,20-02-2024 10:08:23,0.298s,PASSED
"click(findTestObject(""Object Repository/xpath_dynamic"", [""xpath"":""//*[text()=' Proses ']""]))",Chrome 121.0.0.0,,,20-02-2024 10:08:23,20-02-2024 10:08:24,0.304s,PASSED
delay(2),Chrome 121.0.0.0,,,20-02-2024 10:08:24,20-02-2024 10:08:26,2.014s,PASSED
"for ([i = 1, i < 5, (i++)])",Chrome 121.0.0.0,,,20-02-2024 10:08:26,20-02-2024 10:08:36,10.395s,PASSED
"click(findTestObject(""Object Repository/xpath_dynamic"", [""xpath"":""//div[@class='tab-content']/div[4]//*[text()='OK']""]))",Chrome 121.0.0.0,,,20-02-2024 10:08:36,20-02-2024 10:08:37,0.746s,PASSED
"click(findTestObject(""Object Repository/xpath_dynamic"", [""xpath"":""//*[@type='checkbox']""]))",Chrome 121.0.0.0,,,20-02-2024 10:08:37,20-02-2024 10:08:37,0.550s,PASSED
"click(findTestObject(""Object Repository/xpath_dynamic"", [""xpath"":""//*[text()='Ya']""]))",Chrome 121.0.0.0,,,20-02-2024 10:08:37,20-02-2024 10:08:38,0.781s,PASSED
,,,,,,,
Test Cases/me corp - aline/Transaction/AplikasiBaru-Steps/Corporate,Chrome 121.0.0.0,,,20-02-2024 10:08:38,20-02-2024 10:11:18,2m - 40.070s,PASSED
userDir = getProjectDir(),Chrome 121.0.0.0,,,20-02-2024 10:08:39,20-02-2024 10:08:39,0.001s,PASSED
"filePath = pathfinder_npwp.replace(""/"", ""\"")",Chrome 121.0.0.0,,,20-02-2024 10:08:39,20-02-2024 10:08:39,0.001s,PASSED
"ktpPath = cobaKTP.replace(""/"", ""\"")",Chrome 121.0.0.0,,,20-02-2024 10:08:39,20-02-2024 10:08:39,0.001s,PASSED
"setText(findTestObject(""Object Repository/xpath_dynamic"", [""xpath"":""//input[@formcontrolname='sidName']""]), information_namaPemilikRek)",Chrome 121.0.0.0,,,20-02-2024 10:08:39,20-02-2024 10:09:39,1m - 0.236s,PASSED
"click(findTestObject(""Object Repository/xpath_dynamic"", [""xpath"":""//*[text()='Surat Keterangan Domisili ']""]))",Chrome 121.0.0.0,,,20-02-2024 10:09:39,20-02-2024 10:09:46,6.746s,PASSED
"click(findTestObject(""Object Repository/xpath_dynamic"", [""xpath"":""//div[@role='tablist']//div[4]//*[text()=' Capture ']""]))",Chrome 121.0.0.0,,,20-02-2024 10:09:46,20-02-2024 10:09:46,0.391s,PASSED
"popup.popup.uploadFile(findTestObject(""Object Repository/xpath_dynamic"", [""xpath"":""//modal-container//button[2]""]), filePath)",Chrome 121.0.0.0,,,20-02-2024 10:09:46,20-02-2024 10:09:48,1.630s,PASSED
"click(findTestObject(""Object Repository/xpath_dynamic"", [""xpath"":""//*[text()='FAP ']""]))",Chrome 121.0.0.0,,,20-02-2024 10:09:48,20-02-2024 10:09:49,1.187s,PASSED
"click(findTestObject(""Object Repository/xpath_dynamic"", [""xpath"":""//*[text()=' Add Capture']""]))",Chrome 121.0.0.0,,,20-02-2024 10:09:49,20-02-2024 10:09:49,0.395s,PASSED
