Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
scenario,Firefox 123.0,,,27-02-2024 09:33:54,27-02-2024 09:39:42,5m - 48.338s,FAILED
,,,,,,,
Test Cases/me corp - aline/CallAllTestCase,Firefox 123.0,,,27-02-2024 09:33:55,27-02-2024 09:39:29,5m - 34.376s,FAILED
"callTestCase(findTestCase(""Test Cases/me corp - aline/Login""), null, STOP_ON_FAILURE)",Firefox 123.0,,,27-02-2024 09:33:55,27-02-2024 09:34:07,11.077s,PASSED
"callTestCase(findTestCase(""Test Cases/me corp - aline/Transaction/AplikasiBaru""), null, STOP_ON_FAILURE)",Firefox 123.0,,,27-02-2024 09:34:07,27-02-2024 09:35:00,53.789s,PASSED
"callTestCase(findTestCase(""Test Cases/me corp - aline/Transaction/Corporate(DataEntry)""), null, STOP_ON_FAILURE)",Firefox 123.0,,,27-02-2024 09:35:00,27-02-2024 09:38:07,3m - 6.327s,PASSED
"callTestCase(findTestCase(""Test Cases/me corp - aline/Transaction/MatchingPenyimpangan""), null, STOP_ON_FAILURE)",Firefox 123.0,,,27-02-2024 09:38:07,27-02-2024 09:38:28,21.714s,PASSED
"callTestCase(findTestCase(""Test Cases/me corp - aline/Transaction/CollateralLoan-Information""), null, STOP_ON_FAILURE)",Firefox 123.0,,,27-02-2024 09:38:28,27-02-2024 09:39:29,1m - 1.104s,FAILED
,,,,,,,
Test Cases/me corp - aline/CallAllTestCase,Firefox 123.0,,,27-02-2024 09:39:30,27-02-2024 09:39:41,11.117s,FAILED
"callTestCase(findTestCase(""Test Cases/me corp - aline/Login""), null, STOP_ON_FAILURE)",Firefox 123.0,,,27-02-2024 09:39:30,27-02-2024 09:39:41,10.897s,FAILED
,,,,,,,
Test Cases/me corp - aline/CallAllTestCase,Firefox 123.0,,,27-02-2024 09:39:41,27-02-2024 09:39:42,0.989s,FAILED
"callTestCase(findTestCase(""Test Cases/me corp - aline/Login""), null, STOP_ON_FAILURE)",Firefox 123.0,,,27-02-2024 09:39:42,27-02-2024 09:39:42,0.162s,FAILED
